Name,Genre,Date,Actors,Season,Episode,Rating,ProductionCompany,Directors,Writers,Runtime,IsFinished
 Arka Siradakiler,"Action, Drama, Family",2007–2012,"'Bülent Çetinaslan', 'Sinem Uslu', 'Sevda Dalgiç', 'Bülent Emin Yarar'",6,199,3.6,"'MinT Motion Pictures', 'MinT Production', 'Mint Productions'","'Hamdi Alkan', 'Semih Bagci'","'Birol Güven', 'Birol Güven'",61,1
 Maral: My Most Beautiful Story,Drama,2015,"'Aras Bulut Iynemli', 'Hazal Kaya', 'Reha Özcan', 'Ceyda Düvenci'",2,17,5.3,"'MinT Motion Pictures', 'MinT Production', 'Mint Productions'","'Bahadir Ince', 'Deniz Kolos'","'Kerem Deren', 'Korcan Derinsu'",120,1
 Umutsuz Ev Kadinlari,"Drama, Mystery, Romance",2011–2014,"'Songül Öden', 'Ceyda Düvenci', 'Özge Özder', 'Cenk Ertan'",3,154,5.2,Medyapim,"'Eylem Koza', 'Özlem Baysu'","'Marc Cherry', 'Yelda Eroglu'",90,1
 Canevim,Drama,2019,"'Biran Damla Yilmaz', 'Aras Aydin', 'Özgür Çevik', 'Ezgi Senler'",1,17,3.1,Koliba Film,'Adnan Güler',"'Eylem Akin', 'Filiz Alpgezmen'",120,1
 The Last Day,Thriller,2023–,"'Erkan Petekkaya', 'Cemal Toktas', 'Ahmet Mümtaz Taylan', 'Ugur Yücel'",1,8,7.9,Gold Film,'Ahmet Sönmez','Ahmet Sönmez',61,0
 Tatli Hayat,"Comedy, Family",2001–2004,"'Türkan Soray', 'Haluk Bilginer', 'Çolpan Ilhan', 'Neco'",1,106,8.5,"'Columbia TriStar International Television', 'Medyapim'","'Bora Tekay', 'Birkan Uz'",'Haluk Özenç',58,1
 Askin Tarifi,"Comedy, Drama, Romance",2021,"'Kadir Dogulu', 'Serra Aritürk', 'Alper Saldiran', 'Yasemin Çonka'",1,13,5.0,NTC Medya,'Deniz Kolos',"'Doruk Erengül', 'Doruk Erengül'",110,1
 Ekmek Teknesi,"Comedy, Drama",2002–2005,"'Necati Sasmaz', 'Zafer Ergin', 'Raci Sasmaz', 'Bahadir Özdener'",3,106,8.0,"'Pana Film', 'Sinegraf'","'Metin Günay', 'Osman Sinav'","'Hasan Kaçan', 'Raci Sasmaz'",70,1
 Deniz Inside My Heart,Drama,2016–2018,"'Özge Özberk', 'Kutsi', 'Sabahat Kumas', 'Hakan Eratik'",2,60,4.2,Pastel Film,"'Aysun Akyüz', 'Filiz Kuka'","'Funda Çetin', 'Birsel Çikinci'",150,1
 Gümüs,"Drama, Family, Romance",2005–2007,"'Kivanç Tatlitug', 'Songül Öden', 'Güngör Bayrak', 'Ekrem Bora'",3,100,5.7,ANS Production,'Kemal Uzun',"'Eylem Canpolat', 'Berfu Ergenekon'",90,1
 Lovebird,"Drama, History, Romance",2013–2014,"'Fahriye Evcen Özçivit', 'Burak Özçivit', 'Mehmet Özgür', 'Pinar Caglar Genctürk'",1,30,7.4,TIMS Productions,"'Çagan Irmak', 'Dogan Ümit Karaca'","'Mehmet Ali Bayhan', 'Resat Nuri Güntekin'",120,1
 The Others,Drama,2013–2015,"'Ergul Miray Sahin', 'Batuhan Aydar', 'Nasit Özcan', 'Nazli Yanilmaz'",2,72,6.7,TIMS Productions,'Basak Soysal','Ömer Önder',90,1
 Terapist,"Crime, Drama, Mystery",2021,"'Muhammet Uzuner', 'Murat Kiliç', 'Zeynep Çamci', 'Ilayda Alisan'",1,7,7.2,90 Film Production,'Zeynep Dadak',"'Derya Dobrisan', 'Elçin Elmalioglu Karaahmet'",10,1
 Kasaba Doktoru,"Drama, Romance",2022–2023,"'Ozan Akbaba', 'Deniz Can Aktas', 'Hazal Subasi', 'Vildan Atasever'",2,33,7.0,ARC Film,'Arda Sarigün',"'Ilker Arslan', 'Ilker Arslan'",120,1
 Yeter,Drama,2015–2016,"'Tolga Evren', 'Selen Domaç', 'Aysin Yesim Çapanoglu', 'Dogan Can Sarikaya'",2,40,5.0,Koliba Film,"'Cemal San', 'Kemal Uzun'","'Nalan Merter Savas', 'Vilmar Özçinar'",61,1
 Ibn-I Sina,History,2023–,"'Kaan Alp Dayi', 'Meriç Özkaya', 'Deniz Bolisik', 'Efe Ekemen'",1,10,6.5,Bozdag Film,'Hakan Arslan','Mehmet Bozdag',61,0
 Misafir,Drama,2021,"'Hazal Kaya', 'Bugra Gülsoy', 'Ozan Dolunay', 'Selen Öztürk'",1,5,6.3,Medyapim,'Arda Sarigün',"'Özge Aras', 'Özge Aras'",120,1
 Hatirla Sevgili,"Drama, History, Romance",2006–2008,"'Cansel Elcin', 'Beren Saat', 'Okan Yalabik', 'Ayda Aksel'",2,67,7.8,aSis Yapim,"'Ümmü Burhan', 'Halenur Uzunoglu'","'Basak Serpan', 'Sebnem Çitak'",90,1
 My Beautiful Family,"Comedy, Drama, Family",2023,"'Erdal Özyagcilar', 'Onur Buldu', 'Melis Babadag', 'Aycan Koptur'",1,22,5.8,aSis Yapim,"'Sadullah Celen', 'Levent Turkan'","'Ann Areum', 'Baykut Badem'",61,1
 Yalanci,Drama,2021,"'Burçin Terzioglu', 'Salih Bademci', 'Hazal Türesan', 'Cemal Toktas'",1,10,7.2,Süreç Film,'Hülya Gezer',"""Yazi'hane"", 'Rahsan Çigdem Inan'",120,1
 Filinta,History,2014–2016,"'Cem Uçan', 'Onur Tuna', 'Gökhan Bozkurt', 'Kamil Güler'",2,122,6.6,"'ES Film', 'Es Film', 'Es Yapim'","'Süleyman Mert Özdemir', 'Osman Kaya'","'Omer Genc', 'Omer Genc'",110,1
 Guvercin,"Drama, Mystery",2019–2020,"'Mehmet Ali Nuroglu', 'Almila Ada', 'Nursel Köse', 'Genco Ozak'",1,16,4.5,Pastel Film,'Altan Dönmez',"'Ali Ercivan', 'Gül Gürsoy'",120,1
 A Crazy Wind,"Drama, Romance",2018,"'Pinar Deniz', 'Berk Cankat', 'Almila Ada', 'Kanbolat Görkem Arslan'",1,6,5.9,TMC Film,'Altan Dönmez',"'Ayça Birkan', 'Volkan Gürses'",120,1
 Kanunsuz Topraklar,Drama,2021–2022,"'Ugur Günes', 'Esra Bilgiç', 'Kaan Tasaner', 'Mine Teber'",1,16,5.9,Gold Film,"'Cevdet Mercan', 'Serhan Sahin'","'Zehra Yucel', 'Zehra Yucel'",61,1
 Secrets of an Angel,"Crime, Drama",2022–2023,"'Ayça Bingöl', 'Alp Navruz', 'Mesut Akusta', 'Irem Helvacioglu'",1,28,7.1,Gold Film,"'Serdar Gözelekli', 'Bahadir Ince'","'Ayla Haciogullari', 'Ayla Haciogullari'",135,1
 Cennet'in Gözyaslari,Drama,2017–2018,"'Esra Ronabar', 'Berk Atan', 'Almila Ada', 'Zehra Yilmaz'",1,36,6.2,"'Süreç Film', 'V3 Communications'","'Sadullah Celen', 'Aysun Akyüz'","'Not Defteri', 'Heo In-Moo'",61,1
 Yarali Kuslar,Drama,2019,"'Gizem Arikan', 'Emre Mete Sönmez', 'Ali Yasin Özegemen', 'Aysen Inci'",1,165,4.7,Stellar Yapim,"'Yasemin Erkul', 'Ece Tahtalioglu'","'Yasemin Inal Avci', 'Sinem Sengunlu'",90,1
 Seviyor Sevmiyor,"Comedy, Drama, Romance",2016–2017,"'Zeynep Çamci', 'Gökhan Alkan', 'Gonca Sariyildiz', 'Yigit Kirazci'",1,56,6.1,MF Yapim,'Yusuf Pirhasan',"'Aksel Bonfil', 'Hakan Bonomo'",120,1
 Selena,"Comedy, Family, Fantasy",2006–2009,"'Selda Özbek', 'Hakan Altiner', 'Sinan Çaliskanoglu', 'Cansu Demirci'",3,104,2.2,Süreç Film,'Bora Onur',"'Emre Bülbül', 'Gökhan Karagülle'",90,1
 20 Dakika,"Action, Drama, Romance",2013,"'Tuba Büyüküstün', 'Ilker Aksum', 'Firat Çelik', 'Bülent Emin Yarar'",1,25,7.6,Ay Yapim,"'Ali Bilgin', 'Serdar Isik'","'Pinar Bulut', 'Kerem Deren'",90,1
 Bir Küçük Gün Isigi,"Drama, Romance",2022–2023,"'Seray Kaya', 'Berk Oktay', 'Tugçe Açikgöz', 'Seyma Korkmaz'",1,36,6.0,NGM,"'Emre Kabakusak', 'Elif Akarsu Polat'","'Elif Basaran', 'Pervin Bozan'",61,1
 Hayat Bugün,Drama,2022,"'Ulas Tuna Astepe', 'Hazar Ergüçlü', 'Tansel Öngel', 'Hande Dogandemir'",1,8,6.0,O3 Medya,"'Elif Akarsu Polat', 'Çigdem Bozali'","'Ayça Üzüm', 'Ayça Üzüm'",120,1
 Kuzey Yildizi,"Comedy, Romance",2019–2021,"'Ismail Demirci', 'Aslihan Güner', 'Toygan Avanoglu', 'Gizem Günes'",2,64,6.0,Süreç Film,"'Ersoy Güler', 'Ömer Kagan Güler'","'Yelda Aritas', 'Ersoy Güler'",120,1
 Hayat Bilgisi,"Comedy, Drama, Family",2003–2006,"'Perran Kutman', 'Tarik Pabuccuoglu', 'Kerem Kupaci', 'Atilla Olgaç'",4,137,6.5,Süreç Film,"'Tarkan Karlidag', 'Erkan Ersezer'","'Emre Bülbül', 'Gökhan Karagülle'",60,1
 The Girl of the Green Valley,Drama,2023,"'Beren Gokyildiz', 'Sezin Bozaci', 'Onur Dikmen', 'Hasan Balliktas'",1,74,5.0,"'Green Yapim', 'Haciyatmaz Film', 'Mesai Film'","'Çagil Nurhak Aydogdu', 'Murat Senoy'","'Deniz Mert Cebe', 'Nesrin Zamur'",61,1
 Son,"Adventure, Drama, Mystery",2012–2013,"'Yigit Özsener', 'Nehir Erdogan', 'Engin Altan Düzyatan', 'Berrak Tüzünataç'",1,25,7.4,Ay Yapim,'Uluç Bayraktar',"'Zeynep Arslanpay', 'Berkun Oya'",82,1
 Sebeke,Action,2023–,"'Furkan Palali', 'Pelin Karahan', 'Eren Hacisalihoglu', 'Ceyda Ates'",1,10,7.1,Medya Fikir Kulübü,'Ozan Uzunoglu',"'Ibrahim Elma', 'Kemal Çelik'",61,0
 Bahari Beklerken,Drama,2019–2020,"'Isabella Damla Guvenilir', 'Ali Yagiz Durmus', 'Nuray Serefoglu', 'Fatih Ayhan'",1,81,6.3,"'Green Yapim', 'Haciyatmaz Film'","'Ayhan Özdemir', 'Koralp Gumus'","'Gülseren Aydin', 'Öktem Basol'",60,1
 Kocamin Ailesi,"Comedy, Drama, Family",2014–2015,"'Gökhan Alkan', 'Aysenil Samlioglu', 'Erman Okay', 'Yesim Salkim'",2,21,4.2,"'Green Yapim', 'Haciyatmaz Film'","'Safak Bal', 'Kemal Uzun'","'Seyda Delibasi', 'Verda Pars'",100,1
 Tozluyaka,Drama,2022,"'Dolunay Soysert', 'Emre Kinay', 'Tayanç Ayaydin', 'Kaan Miraç Sezen'",1,26,5.7,NTC Medya,'Semih Bagci',"'Serap Gazel', 'Nazli Sunlu'",128,1
 Reaksiyon,"Action, Crime",2014,"'Ibrahim Celikkol', 'Selen Soyder', 'Erdal Besikçioglu', 'Nehir Erdogan'",1,13,7.1,Reaksiyon Film,"'Onur Tan', 'Özlem Dündar'","'Ozan Aksungur', 'Ozan Ayaz'",111,1
 Love and Secrets,"Action, Drama, Romance",2019,"'Keremcem', 'Özgü Kaya', 'Burak Serdar Sanal', 'Zeynep Elçin'",1,27,6.2,Reaksiyon Film,"'Ufuk Hakan Eren', 'Kartal Çidamli'","'Hasan Burak Kayaci', 'Kemal Çelik'",120,1
 Subat,"Crime, Drama, Fantasy",2012–2013,"'Alican Yücesoy', 'Melisa Sözen', 'Sermet Yesil', 'Musa Uzunlar'",1,32,7.9,Eflatun Film,"'Volkan Kocatürk', 'Onur Ünlü'","'Funda Alp', 'Funda Alp'",95,1
 Sevmek Zamani,Drama,2022,"'Ilhan Sen', 'Deniz Isin', 'Toprak Can Adigüzel', 'Serenay Aktas'",1,5,5.1,Süreç Film,"'Ömer Aydin', 'Yildiz Hülya Bilban'","'Ömer Aydin', 'Harun Baran'",61,1
 Crossroads,"Drama, Romance",2016–2017,"'Timuçin Esen', 'Sevval Sam', 'Dilan Çiçek Deniz', 'Alperen Duymaz'",1,42,6.0,TMC Film,'Mehmet Ada Öztekin',"'Basar Basaran', 'Meryem Gültabak'",120,1
 Kara Ekmek,"Crime, Drama",2015–2016,"'Özlem Yilmaz', 'Engin Hepileri', 'Ushan Çakir', 'Gülçin Santircioglu'",2,37,7.0,Limon Film,"'Taner Akvardar', 'Selin Kilicarslan'","'Yelda Eroglu', 'Gül Abus Semerci'",120,1
 Kurtlar Vadisi: Terör,"Action, Adventure, Crime",2007,"'Necati Sasmaz', 'Gürkan Uygun', 'Sönmez Atasoy', 'Kenan Çoban'",1,2,6.2,Pana Film,'Sadullah Sentürk',"'Cüneyt Aysan', 'Raci Sasmaz'",120,1
 Tatli intikam,"Comedy, Romance",2016,"'Leyla Lydia Tugutlu', 'Furkan Andic', 'Cagri Citanak', 'Hazal Türesan'",1,30,6.2,D Production,'Baris Ercetin',"'Ilker Arslan', 'Pinar Ordu'",120,1
 Dönence,"Drama, Romance",2023,"'Emre Kinay', 'Caner Topcu', 'Sümeyye Aydogan', 'Atakan Hosgören'",1,14,5.3,D Media,"'Serdar Gözelekli', 'Kerem Çakiroglu'","'Ibrahim Güler', 'Ebru Hacioglu'",61,1
 Elveda Rumeli,Drama,2007–2009,"'Gülçin Santircioglu', 'Filiz Ahmet', 'Tolgahan Sayisman', 'Erdal Özyagcilar'",3,83,8.0,"'ATV', 'Adam Film', 'Sektor Film Skopje'","'Serdar Akar', 'Dogan Ümit Karaca'",'Ertan Saban',90,1
 Taçsiz Prenses,Drama,2023,"'Elif Kurtuaran', 'Merve Sen', 'Feride Çetin', 'Merve Bulut'",2,13,6.7,MF Yapim,'Volkan Keskin',"'Pinar Bulut', 'Toshiya Itô'",61,1
 Gülizar,Drama,2018,"'Farah Zeynep Abdullah', 'Berk Cankat', 'Ebru Cündübeyoglu', 'Serif Sezer'",1,10,5.5,O3 Medya,'Çagan Irmak','Çagan Irmak',120,1
 Tozkoparan Iskender,"Adventure, Fantasy",2021–,"'Gökmen Tugral Batuhan', 'Çagan Efe Ak', 'Deniz Erayvaz', 'Gökhan Atalay'",2,40,6.0,Fotoroman Film,"'Bora Onur', 'Levent Kar'","'Selin Arapkirli', 'Selin Arapkirli'",120,0
 The Blue Exile,Romance,2023,"'Caner Cindoruk', 'Damla Sönmez', 'Serkan Altunorak', 'Bülent Sakrak'",1,26,5.7,Fotoroman Film,'Nezaket Coskun',"'Murat Disli', 'Murat Disli'",61,1
 Aglama Anne,Drama,2018,"'Birce Akalay', 'Özlem Yilmaz', 'Cansel Elcin', 'Sezin Akbasogullari'",1,13,5.9,Süreç Film,'Feride Kaytan',"'Esin Gök', 'Serdar Oguz'",120,1
 Hayat Sirlari,Drama,2017–2018,"'Ahmet Mümtaz Taylan', 'Ekin Koç', 'Hazar Ergüçlü', 'Devrim Yakut'",1,11,7.1,Most Production,'Murat Can Oguz',"'Mahinur Ergun', 'Jeong-seon Lee'",120,1
 Genco,"Drama, Family, Romance",2007–2008,"'Hazal Kaya', 'Alpay Kemal Atalan', 'Selen Seyven', 'Faik Ergin'",1,51,5.2,D Production,'Kemal Uzun',"'Bilal Babaoglu', 'Ilker Baris'",90,1
 Kinali Kar,Drama,2002–2004,"'Emrah', 'Özlem Conker', 'Mustafa Avkiran', 'Nurseli Idiz'",2,90,4.1,Yagmur Ajans,'Taner Akvardar',"'Özgür Evren', 'Gamze Özer'",60,1
 Bir Fetih Ülküsü Kizilelma,History,2023–,"'Miraç Sözer', 'Larissa Lara Türközer', 'Ali Karadagli', 'Efe Yesilay'",1,8,7.6,Tekden Film,'Kamil Aydin',"'Ozan Bodur', 'Cihan Bozkaya'",61,0
 Zengin ve Yoksul,Drama,2019,"'Binnur Kaya', 'Gökhan Alkan', 'Osman Sonant', 'Evrim Solmaz'",1,8,4.3,NTC Medya,"'Deniz Yorulmazer', 'Semih Bagci'","'Birol Elginöz', 'Yelda Eroglu'",120,1
 Akinci,"Action, Adventure, Crime",2021,"'Sükrü Özyildiz', 'Büsra Develi', 'Yildiray Sahinler', 'Tolga Tekin'",1,20,2.3,NTC Medya,"'Veli Çelik', 'Levent Turkan'","'Hakan Kandal', 'Hakan Kandal'",120,1
 Asi,"Drama, Romance",2007–2009,"'Tuba Büyüküstün', 'Murat Yildirim', 'Çetin Tekindor', 'Nur Sürer'",2,71,7.0,Sis Yapim,"'Cevdet Mercan', 'Levent Yildirim'","'Bilal Babaoglu', 'Nese Cehiz'",90,1
 Gül Masali,Drama,2022,"'Gülper Özdemir', 'Erdem Kaynarca', 'Zehra Yilmaz', 'Sarp Can Köroglu'",1,17,5.0,Pastel Film,'Sadullah Sentürk',"'Aybars Bora Kahyaoglu', 'Musab Kul'",61,1
 Queen of the Night,"Action, Drama, Romance",2016,"'Meryem Uzerli', 'Murat Yildirim', 'Ugur Polat', 'Funda Eryigit'",1,15,5.7,O3 Medya,"'Burcu Alptekin', 'Osman Tasci'","'Ozan Aksungur', 'Cüneyt Aysan'",120,1
 Masum Degiliz,Drama,2018,"'Damla Sönmez', 'Uraz Kaygilaroglu', 'Aras Aydin', 'Ushan Çakir'",1,6,3.5,Koliba Film,"'Levent Turkan', 'Serkan Ipekören'","'Pelin Karamehmetoglu', 'Bekir Baran Sitki'",120,1
 Sifirinci Gün,Action,2022–2023,"'Engin Öztürk', 'Berk Cankat', 'Aybüke Pusat', 'Damla Colbay'",1,8,6.3,Acun Medya,"'Süleyman Mert Özdemir', 'Çagatay Tosun'","'Atasay Koç', 'Arzu Biçakçi'",61,1
 Sevdim Seni Bir Kere,Drama,2019–2020,"'Yagmur Çokgenç', 'Oguzhan Kayra Koc', 'Sifanur Gül', 'Berk Bakioglu'",1,86,5.5,MGA Yapim,"'Gürsel Ates', 'Berguzar Demiroglu'","'Deniz Aydenk', 'Aysegül Bostanci Bektas'",60,1
 7 Numara,"Comedy, Drama, Family",2000–2003,"'Emin Olcay', 'Engin Yüksel', 'Nuray Uslu', 'Engin Hepileri'",3,92,8.8,Fora Film,"'Haluk Bener', 'Sadullah Celen'","'Nuray Uslu', 'Nuray Uslu'",45,1
 Parmakliklar Ardinda,"Crime, Drama",2007–2010,"'Yelda Reynaud', 'Özlem Düvencioglu', 'Cengiz Bozkurt', 'Pamir Pekin'",3,38,6.2,Play Prodüksiyon,'Feride Çiçekoglu','Kerem Güney',61,1
 Little Secrets,"Drama, Romance",2010–2011,"'Sinem Kobal', 'Burak Özçivit', 'Merve Bolugur', 'Birkan Sokullu'",2,55,3.8,Play Prodüksiyon,"'A. Taner Elhan', 'Kerem Çakiroglu'","'Aylin Aliveren', 'Gökce Durat Bal'",120,1
 Masha'er,"Crime, Drama, Romance",2019–2021,"'Sara Lalama', 'Nabil Asli', 'Mariem Ben Chaâbane', 'Hassan Kechache'",1,20,6.6,"'Ninty 4 Vision', 'Nour Production Audiovisuelle', 'Tunisian International Studios'",'Muhammet Gök',"'Iyed Belkhodja', 'Sana Bouazizi'",40,1
 The Usual Suspects,"Comedy, Drama, Thriller",2021,"'Bennu Yildirimlar', 'Ceren Moray', 'Yasemin Kay Allen', 'Berk Hakman'",1,10,5.4,1441 Productions,'Yüksel Aksu',"'Sedef Bayburtluoglu', 'Rahsan Çigdem Inan'",45,1
 Will It Work Out Between Us?,"Comedy, Romance",2022,"'Sarp Bozkurt', 'Deniz Isin', 'Berkay Tulumbaci', 'Basak Gümülcinelioglu Çitanak'",1,10,6.4,1441 Productions,'Emre Bahadir Çirakoglu',"'Alper Atalan', 'Murat Disli'",15,1
 Babam ve Ailesi,Drama,2016,"'Bülent Inal', 'Sera Kutlubey', 'Ayça Bingöl', 'Ceyda Düvenci'",1,13,5.1,Akn Film Production,"'Osman Kaya', 'Süleyman Mert Özdemir'","'Coskun Irmak', 'Onur Ugras'",150,1
 Sampiyon,"Action, Drama",2019–2020,"'Tolgahan Sayisman', 'Yildiz Çagri Atiksoy', 'Erkan Avci', 'Ilayda Alisan'",1,34,5.9,BSK Yapim,"'Ketche', 'Devrim Yalçin'","'Mustafa Becit', 'Basak Angigün'",120,1
 Familya,"Comedy, Drama, Family",2016,"'Ugur Yücel', 'Erkan Kolçak Köstendil', 'Bülent Emrah Parlak', 'Sükran Ovali'",1,11,5.7,"'Gold Film', 'TMC Film'","'Can Yücel', 'Ulas Cihan Simsek'","'Ugras Günes', 'Onur Ugras'",110,1
 Tek Türkiye,Drama,2007–2011,"'Ergun Kuyucu', 'Ozan Çobanoglu', 'Süleyman Karadag', 'Müjgan Koraltürk'",4,133,5.7,"'Gold Film', 'TMC Film'","'Gürsel Ates', 'Naci Çelik Berksoy'",'Samim Utku',61,1
 Menekse ile Halil,"Crime, Drama, Romance",2007–2008,"'Kivanç Tatlitug', 'Sedef Avci', 'Murat Daltaban', 'Caner Çandarli'",1,36,6.4,"'Acar Entertainment', 'Ay Yapim'","'Uluç Bayraktar', 'Atilla Cengiz'","'Melek Gençoglu', 'Elif Shafak'",90,1
 Rüya,"Family, Romance",2017,"'Hazal Filiz Küçükköse', 'Ceyhun Mengiroglu', 'Ulas Tuna Astepe', 'Özge Özder'",1,10,4.7,"'Acar Entertainment', 'Ay Yapim'",'Cemal San','Kaktüs Yazi Grubu',61,1
 Tozkoparan Iskender Gölge,Sci-Fi,2023–,"'Çagan Efe Ak', 'Alp Ilkman', 'Deniz Erayvaz', 'Leya Kirsan'",4,11,5.7,TRT Dijital,'Sevki Es','Özgür Zoral',61,0
 Çember,"Action, Adventure, Crime",2017–2022,"'Baris Bagci', 'Pelin Akil', 'Anil Altan', 'Serhat Mustafa Kiliç'",3,19,7.3,"'ANS Productions', 'Evrensel Filimcilik'","'Abdullah Oguz', 'Ömer Baykul'","'Ibrahim Altun', 'Ibrahim Altun'",90,1
 Doktorlar,Drama,2006–2011,"'Kutsi', 'Melike Güner', 'Umut Tabak', 'Bekir Aksoy'",4,97,4.0,Medyapim,'Merve Girgin',"'Ebru Hacioglu', 'Hande Turel'",90,1
 Man on Pause,"Comedy, Drama",2022–,"'Engin Günaydin', 'Tamer Karadagli', 'Derya Karadas', 'Turgut Tuncalp'",1,6,6.7,Medyapim,"'Durul Taylan', 'Yagmur Taylan'",'Engin Günaydin',45,0
 Kazara Ask,"Comedy, Drama, Romance",2021,"'Ümit Kantarcilar', 'Sude Zulal Güler', 'Servet Pandur', 'Ugur Çavusoglu'",1,13,5.1,Koliba Film,'Sadullah Celen',"'Rana Mamatlioglu', 'Bekir Baran Sitki'",120,1
 The Teacher,"Crime, Drama, Thriller",2020,"'Ilker Kaleli', 'Afra Saraçoglu', 'Ceren Moray', 'Serhat Mustafa Kiliç'",2,9,7.7,"'Fox TV', 'MF Yapim', 'Medyapim'",'Koray Kerimoglu',"'Merve Girgin', 'Merve Girgin'",120,1
 Death Time,"Crime, Fantasy, Thriller",2021,"'Mert Yazicioglu', 'Nilsu Berfin Aktas', 'Ece Yasar', 'Mert Ramazan Demir'",1,8,6.2,Süreç Film,'Yunus Ozan Korkut',"'Silan Aras Erdem', 'Ayse Balibey Tanil'",30,1
 Orphan Flowers,"Crime, Drama, Romance",2015–2018,"'Ipek Karapinar', 'Özgür Çevik', 'Biran Damla Yilmaz', 'Veda Yurtsever Ipek'",3,113,5.7,NTC Medya,'Serkan Birinci',"'Sahin Alparslan', 'Yelda Eroglu'",140,1
 Sahipli,"Drama, Horror, Thriller",2017,"'Funda Güray', 'Baran Akbulut', 'Ferit Kaya', 'Koray Sahinbas'",1,10,6.9,D Productions,'Alper Mestçi',"'Selim Erkul', 'Alper Mestçi'",45,1
 Arak,Drama,2023–,"'Ilker Kaleli', 'Öykü Karayel', 'Mehmet Özgür', 'Tülin Özen'",1,1,6.2,D Productions,'Ender Mihlar',"'Ayberk Cinar', 'Asli Gönülay'",61,0
 Sultan of My Heart,"Comedy, Drama, History",2018,"'Ali Ersan Duru', 'Aleksandra Nikiforova', 'Emel Çölgeçen', 'Tansel Öngel'",1,8,6.6,Maya Productions,"'Bobby Roth', 'Kerem Çakiroglu'","'Inci Hekimoglu', 'Inci Özlem Hekimoglu'",150,1
 Kaybolan Yillar,"Action, Crime, Drama",2006–2007,"'Yesim Büber', 'Saruhan Hünel', 'Umut Tabak', 'Taylan Güner'",1,49,6.8,Base Productions,"'Zeynep Gunay Tan', 'Sergin Akyaz'",'Sergin Akyaz',61,1
 Maids,Drama,2020,"'Deniz Baysal', 'Algi Eke', 'Selen Domaç', 'Aleyna Solaker'",1,3,3.5,Fabrika Yapim,'Metin Balekoglu',"'Alper Alpözgen', 'Ahmet Ruhan Arca'",120,1
 Son Nefesime Kadar,Drama,2022,"'Nurgül Yesilçay', 'Emre Kinay', 'Begüm Birgören', 'Rojda Demirer'",1,5,5.2,Pastel Film,'Deniz Çelebi',"'Kerem Bozok', 'Hatice Meryem'",120,1
 Hicran,Drama,2022–,"'Berk Bakioglu', 'Yagmur Çokgenç', 'Yasar Üzer', 'Aydan Burhan'",1,164,8.0,Filmevi Yapim,"'Gürsel Ates', 'Nuh Sen'","'Firat Efe Akyüz', 'Ugur Kandemir Arpaci'",61,0
 Kizim,Drama,2018–2019,"'Bugra Gülsoy', 'Beren Gokyildiz', 'Leyla Lydia Tugutlu', 'Serhat Teoman'",1,35,6.7,Medyapim,"'Gökçen Usta', 'Merve Girgin'","'Banu Kiremitçi Bozkurt', 'Ho Sung Cheon'",120,1
 Sahane Damat,"Comedy, Romance",2016,"'Burcu Özberk', 'Ali Ersan Duru', 'Nükhet Duru', 'Erhan Yazicioglu'",1,8,5.6,Sinegraf,'Rasit Çelikezer',"'Nehir Erdem', 'Çagdas Eroglu'",120,1
 Hayaller Ve Hayatlar,"Comedy, Romance",2022,"'Özge Gürel', 'Aybüke Pusat', 'Melisa Pamuk', 'Yesim Ceren Bozoglu'",1,26,6.7,NGM,"'Emre Kabakusak', 'Altan Dönmez'","'Yesim Citak', 'Yelda Eroglu'",45,1
 The Lizard,"Comedy, Crime, Romance",2014–2016,"'Erdinç Gülener', 'Cansu Gultekin', 'Dilsad Simsek', 'Züleyha Karyagdi'",1,85,3.3,Yapim Atölyesi,"'Pinar Corbacioglu', 'Metin Balekoglu'","'Hasan Burak Kayaci', 'Hakan Kandal'",120,1
 Adanali,"Action, Crime",2008–2010,"'Oktay Kaynarca', 'Mehmet Akif Alakurt', 'Cagkan Culha', 'Umut Oguz'",3,79,3.7,Kuzey Production,"'Adnan Güler', 'Bora Onur'","'Tayfun Güneyer', 'Alev Toprakoglu Uzma'",100,1
 The Affair,Drama,2021,"'Hazar Ergüçlü', 'Firat Çelik', 'Defne Kayalar', 'Ahmet Rifat Sungar'",1,10,5.6,May Productions,'Deniz Akcay Katiksiz',"'Armagan Gülsahin', 'Deniz Akcay Katiksiz'",60,1
 Litle Bride,Drama,2013–2015,"'Çagla Simsek', 'Ufuk Sen', 'Ali Çakalgöz', 'Sema Aybars'",3,92,4.4,Bosphorus Films,"'Naci Çelik Berksoy', 'Tolga Çetin'","'Tuba Altinisik Bilir', 'Aysegül Gök'",61,1
 Deli Gönül,Drama,2017,"'Murat Ünalmis', 'Tuvana Türkay', 'Mine Tüfekçioglu', 'Çigdem Batur'",1,10,6.2,25 Film,"'Selim Demirdelen', 'Hakan Inan'",'Rahsan Çigdem Inan',120,1
 Deneme Çekimi,"Comedy, Drama",2023–,"'Asli Inandik', 'Ender Gözü', 'Gizem Karaca', 'Meric Aral'",1,6,5.4,Vigo Film,'Semih Gülen',"'Semih Gülen', 'Asli Inandik'",15,0
 White Lie,"Drama, Romance",2015,"'Kutsi', 'Deniz Baysal', 'Ebru Aykaç', 'Ege Aydan'",1,6,5.7,NTC Medya,"'Filiz Gülmez Pakman', 'Pinar Corbacioglu'",'Hayriye Ersöz',120,1
