Name,Genre,Date,Actors,Season,Episode,Rating,ProductionCompany,Directors,Writers,Runtime,IsFinished
 Genis Zamanlar,Drama,2007,"'Zuhal Olcay', 'Özge Özberk', 'Oktay Kaynarca', 'Hakan Eratik'",1,22,6.4,TIMS Productions,'Serdar Akar',"'Mahinur Ergun', 'Ayse Kulin'",61,1
 Nasreddin Hodja: The Time Traveler,"Animation, Comedy",2019,"'Ender Yigit', 'Ekinsu Karaata', 'Ufuk Yüksel', 'Ezel Kalkan'",1,12,6.2,Medyapim,'Mustafa Murat Boyaci','Ayse Banu Basarici',10,1
 Oriental Sweets,Romance,2016,"'Anna Sagaydachnaya', 'Akhtem Seitablaev', 'Andrey Fedinchik', 'Maria Tarasova'",2,48,6.4,"'BKM', 'Besiktas Kültür Merkezi (BKM)'",'Denis Eleonskiy',"'Lika Blank', 'Vladyslav Riashyn'",48,1
 Kalp Hirsizi,Drama,2014,"'Mine Tugay', 'Cansu Kurgun'",1,20,5.4,MinT Motion Pictures,"'Emre Kavuk', 'Engin Denizhan'",'Birol Güven',61,1
 Kara Kutu,"Crime, Drama",2015,"'Iskender Bingol', 'Orhan Kilic', 'Sumeyra Koc', 'Deniz Ugur'",1,7,4.6,Pana Film,'Serdar Akar','Ercan Mehmet Erdem',60,1
 Türkü Filmi,"Comedy, Drama, Romance",2004,"'Volkan Adiyaman', 'Tugba Agaoglu', 'Savas Ak', 'Solmaz Akça'",1,52,5.7,Pana Film,"'Onur Aydin', 'Gülhan Tekin'",'Halil Tuncay Önür',61,1
 Yalanci Romantik,"Comedy, Romance",2008–2010,"'Hakan Yilmaz', 'Ebru Cündübeyoglu', 'Zerrin Sümer', 'Yalçin Mentes'",1,20,6.0,Mint Prodüksiyon,"'Yonca Güzelpinar', 'Birkan Uz'","'Murat Aras', 'Metin Açikgöz'",61,1
 Iki Yabanci,"Drama, Romance",2007,"'Keremcem', 'Hatice Sendil', 'Ozman Sirgood', 'Kerem Can'",1,13,3.0,Avrupa Film,"'Bülent Isbilen', 'Murat Saraçoglu'",'Tayfun Güneyer',61,1
 Farkli Boyut,Drama,2011,"'Serkan Akarslan', 'Merve Akaydin', 'Burak Akbas', 'Seçil Buket Akinci'",1,7,5.4,"'Base Productions', 'Base Yapim'","'Nuh Sen', 'Taner Tunç'",'Erhan Turan',80,1
 Cennetin Sirlari,"Drama, Romance",2011,"'Isil Keskin', 'Ozan Akbaba', 'Gökay Müftüoglu', 'Burçin Bilim'",1,5,5.7,Lacivert Film,'Murat Karahüseyinoglu',"'Neslihan Eyüboglu', 'Sevgi Saygi'",61,1
 Sana Mecburum,Drama,2007,"'Dogus', 'Seda Bakan', 'Ali Sunal', 'Ozan Daggez'",1,11,2.9,FM Yapim,'Hakan Arslan',"'Ilker Arslan', 'Cenk Bogatur'",100,1
 Çemberin Disinda,Crime,2008,"'Burçin Terzioglu', 'Senay Gürler', 'Sinan Tuzcu', 'Engin Hepileri'",1,2,1.1,FM Yapim,'Celal Çimen',"'Merve Karaoglu', 'Zeki Gürdal Karaoglu'",90,1
 Ayrilik: Askta ve Savasta Filistin,Drama,2009–2010,"'Sema Aybars', 'Emir Benderlioglu', 'Nihan Büyükagaç', 'Tamer Levent'",1,20,5.7,Süreç Film,'Onur Tan','Gani Müjde',61,1
 Nefes,Drama,2009,"'Naz Elmas', 'Ugur Polat', 'Onur Saylak', 'Engin Senkan'",1,20,5.7,Dual Yapim,'Ümmü Burhan','Korhan Sayginer',61,1
 Naks-i Dil Sultan,History,2010,"'Oya Akar', 'Ramazan Akboga', 'Eda Akkaya', 'Serkan Asnaz'",1,20,5.7,Okur Film,"'Günay Günaydin', 'Hakan Gürtop'","'Ramazan Demirli', 'Alper Kivilcim'",61,1
 Köpek,Adventure,2005,"'Onur Bay', 'Cüneyt Arkin', 'Erkan Petekkaya', 'Melahat Abbasova'",1,1,4.5,"'Sinema A.S.', 'Yagmur Ajans'",'Cem Akyoldas','Ali Can Yaras',61,1
 Tozlu Yollar,Drama,2013,"'Sinan Gülsen', 'Nihat Altinkaya', 'Seda Akman', 'Asena Tugal'",1,6,5.7,"'Sinema A.S.', 'Yagmur Ajans'",'Özer Kiziltan','Oguz Celik',61,1
 Azap Yolu,Drama,2006,"'Kadir Inanir', 'Melisa Sözen', 'Ebru Akel', 'Volga Sorgu'",1,15,3.4,"'BKM', 'Besiktas Kültür Merkezi (BKM)'","'Temel Gürsu', 'Orhan Oguz'","'Hürer Ebeoglu', 'Can Sinan'",61,1
 Ask Olsun,Romance,2003–2004,"'Suzan Aksoy', 'Ilker Aksum', 'Talat Bulut', 'Rojda Demirer'",1,20,3.8,"'BKM', 'Besiktas Kültür Merkezi (BKM)'",'Yasemin Türkmenli','Mustafa Ugur Yagcioglu',60,1
 Bedel,Drama,2015,"'Sedef Avci', 'Necip Memili', 'Berk Erçer', 'Gonca Sariyildiz'",1,20,3.7,NTC Medya,'Ulas Inan Inaç',"'Seval Bozkurt', 'Özgür Evren Heptürk'",120,1
 Bizim Sokak,"Adventure, Comedy, Drama",1999–2000,"'Ciguli', 'Mete Yavasoglu', 'Peri Mehtap Çiçek', 'Murat Öncül'",1,13,5.5,Yönder Yapim,'Samim Utku',"'Müjdan Kayserli', 'Müjdan Kayserli'",55,1
 Kahireli Palas,"Drama, Family, Romance",2013,"'Buket Orhan', 'Melda Arat Mutlu', 'Cem Kurtoglu', 'Fatma Kabasakal'",1,1,2.6,Yönder Yapim,'Hakan Sahin',"'Begumhan Mina Aluc', 'Gülriz Aygül'",60,1
 Hayat Dedigin,Drama,2013–2014,"'Ümit Altiner', 'Arzu Tokgöz', 'Derya Sen', 'Burhan Ökmen'",1,3,6.3,Mint Prodüksiyon,"'Mehtap Köroglu', 'Özgür Pak'","'Düs Yolculari', 'Ebru Cansin Palaur'",61,1
 Affet Bizi Hocam,Drama,1998,"'Mesut Akusta', 'Bulut Aras', 'Turgut Arseven', 'Nilüfer Aydan'",1,20,6.0,Mint Prodüksiyon,'Halit Refig',"'Serpil Akillioglu', 'Safa Önal'",45,1
 Karantina,Thriller,2021–,"'Sarp Sivrikaya', 'Selahaddin Zivkara', 'Sakir Us'",1,1,5.7,Mint Prodüksiyon,'Tunahan Kaplan','Tunahan Kaplan',61,0
 Mars Kapidan Baktirir,"Comedy, Romance",2004–,"'Övül Avkiran', 'Erdal Besikçioglu', 'Can Dogan', 'Sezgin Erdemir'",1,20,5.2,Çukurova Yapim,"'Jale Incekol', 'Bora Tekay'",'Ece Yörenç',61,0
